Year,Gebietseinheit,Zimmer,GeoCode,Value
2017,Hameln-Pyrmont,1_Zimmer ,,0
2017,Hildesheim,1_Zimmer ,,4
2017,Hildesheim-Stad,1_Zimmer ,,4
2017,Hildesheim(oh.H,1_Zimmer ,,0
2017,Holzminden,1_Zimmer ,,3
2017,Nienburg (Weser,1_Zimmer ,,4
2017,Schaumburg,1_Zimmer ,,0
2017,Lüneburg,1_Zimmer ,,250
2017,Celle,1_Zimmer ,,7
2017,Celle-Stadt,1_Zimmer ,,6
2017,Celle (oh.Celle,1_Zimmer ,,1
2017,Cuxhaven,1_Zimmer ,,2
2017,Cuxhaven-Stadt,1_Zimmer ,,1
2017,Cuxhaven (oh. C,1_Zimmer ,,1
2017,Harburg,1_Zimmer ,,20
2017,Lüchow-Dannenbe,1_Zimmer ,,3
2017,Lüneburg,1_Zimmer ,,101
2017,Lüneburg-Hanses,1_Zimmer ,,3
2017,Lüneburg (oh. L,1_Zimmer ,,98
2017,Osterholz,1_Zimmer ,,8
2017,Rotenburg (Wümm,1_Zimmer ,,23
2017,Heidekreis,1_Zimmer ,,34
2017,Stade,1_Zimmer ,,39
2017,Stade-Hansestad,1_Zimmer ,,1
2017,Stade (oh.Stade,1_Zimmer ,,40
2017,Uelzen,1_Zimmer ,,2
2017,Verden,1_Zimmer ,,11
2017,Weser-Ems,1_Zimmer ,,271
2017,Delmenhorst-Sta,1_Zimmer ,,2
2017,Emden-Stadt,1_Zimmer ,,2
2017,Oldenburg(Oldb),1_Zimmer ,,66
2017,Osnabrück-Stadt,1_Zimmer ,,74
2017,Wilhelmshaven-S,1_Zimmer ,,1
2017,Ammerland,1_Zimmer ,,18
2017,Aurich,1_Zimmer ,,8
2017,Cloppenburg,1_Zimmer ,,1
2017,Emsland,1_Zimmer ,,19
2017,Lingen (Ems)-St,1_Zimmer ,,3
2017,Emsland (oh. Li,1_Zimmer ,,16
2017,Friesland,1_Zimmer ,,27
2017,Grafschaft Bent,1_Zimmer ,,3
2017,Nordhorn-Stadt,1_Zimmer ,,2
2017,Grfsch.Bentheim,1_Zimmer ,,1
2017,Leer,1_Zimmer ,,7
2017,Oldenburg,1_Zimmer ,,1
2017,Osnabrück,1_Zimmer ,,28
2017,Melle-Stadt,1_Zimmer ,,2
2017,Osnabrück (oh.M,1_Zimmer ,,26
2017,Vechta,1_Zimmer ,,6
2017,Wesermarsch,1_Zimmer ,,4
2017,Wittmund,1_Zimmer ,,4
2017,Niedersachsen,2_Zimmer,,4883
2017,Braunschweig,2_Zimmer,,713
2017,Braunschweig-St,2_Zimmer,,106
2017,Salzgitter-Stad,2_Zimmer,,3
2017,Wolfsburg-Stadt,2_Zimmer,,139
2017,Gifhorn,2_Zimmer,,58
2017,Goslar,2_Zimmer,,15
2017,Goslar-Stadt,2_Zimmer,,0
2017,Goslar (oh. Gos,2_Zimmer,,15
2017,Helmstedt,2_Zimmer,,26
2017,Northeim,2_Zimmer,,83
2017,Peine,2_Zimmer,,61
2017,Peine-Stadt,2_Zimmer,,48
2017,Peine (oh. Pein,2_Zimmer,,13
2017,Wolfenbüttel,2_Zimmer,,88
2017,Wolfenbüttel-St,2_Zimmer,,21
2017,Wolfenbüttel (o,2_Zimmer,,67
2017,Göttingen,2_Zimmer,,134
2017,Göttingen-Stadt,2_Zimmer,,92
2017,Göttingen (oh.,2_Zimmer,,42
2017,Hannover,2_Zimmer,,976
2017,Hannover-Region,2_Zimmer,,696
2017,Hannover-Landes,2_Zimmer,,319
2017,Garbsen-Stadt,2_Zimmer,,18
2017,Langenhagen-Sta,2_Zimmer,,70
2017,Hann.Reg.(oh.Ha,2_Zimmer,,289
2017,Diepholz,2_Zimmer,,90
2017,Hameln-Pyrmont,2_Zimmer,,11
2017,Hameln-Stadt,2_Zimmer,,9
2017,Hameln-Pyrmont,2_Zimmer,,2
2017,Hildesheim,2_Zimmer,,95
2017,Hildesheim-Stad,2_Zimmer,,50
2017,Hildesheim(oh.H,2_Zimmer,,45
2017,Holzminden,2_Zimmer,,18
2017,Nienburg (Weser,2_Zimmer,,26
2017,Schaumburg,2_Zimmer,,40
2017,Lüneburg,2_Zimmer,,1146
2017,Celle,2_Zimmer,,60
2017,Celle-Stadt,2_Zimmer,,15
2017,Celle (oh.Celle,2_Zimmer,,45
2017,Cuxhaven,2_Zimmer,,71
2017,Cuxhaven-Stadt,2_Zimmer,,34
2017,Cuxhaven (oh. C,2_Zimmer,,37
2017,Harburg,2_Zimmer,,366
2017,Lüchow-Dannenbe,2_Zimmer,,25
2017,Lüneburg,2_Zimmer,,59
2017,Lüneburg-Hanses,2_Zimmer,,33
2017,Lüneburg (oh. L,2_Zimmer,,26
2017,Osterholz,2_Zimmer,,71
2017,Rotenburg (Wümm,2_Zimmer,,75
2017,Heidekreis,2_Zimmer,,104
2017,Stade,2_Zimmer,,239
2017,Stade-Hansestad,2_Zimmer,,68
2017,Stade (oh.Stade,2_Zimmer,,171
2017,Uelzen,2_Zimmer,,17
2017,Verden,2_Zimmer,,59
2017,Weser-Ems,2_Zimmer,,2048
2017,Delmenhorst-Sta,2_Zimmer,,19
2017,Emden-Stadt,2_Zimmer,,2
2017,Oldenburg(Oldb),2_Zimmer,,313
2017,Osnabrück-Stadt,2_Zimmer,,74
2017,Wilhelmshaven-S,2_Zimmer,,17
2017,Ammerland,2_Zimmer,,220
2017,Aurich,2_Zimmer,,183
2017,Cloppenburg,2_Zimmer,,89
2017,Emsland,2_Zimmer,,344
2017,Lingen (Ems)-St,2_Zimmer,,158
2017,Emsland (oh. Li,2_Zimmer,,186
2017,Friesland,2_Zimmer,,170
2017,Grafschaft Bent,2_Zimmer,,128
2017,Nordhorn-Stadt,2_Zimmer,,77
2017,Grfsch.Bentheim,2_Zimmer,,51
2017,Leer,2_Zimmer,,76
2017,Oldenburg,2_Zimmer,,43
2017,Osnabrück,2_Zimmer,,184
2017,Melle-Stadt,2_Zimmer,,36
2017,Osnabrück (oh.M,2_Zimmer,,148
2017,Vechta,2_Zimmer,,108
2017,Wesermarsch,2_Zimmer,,24
2017,Wittmund,2_Zimmer,,54
2017,Niedersachsen,3_Zimmer,,7144
2017,Braunschweig,3_Zimmer,,1051
2017,Braunschweig-St,3_Zimmer,,154
2017,Salzgitter-Stad,3_Zimmer,,20
2017,Wolfsburg-Stadt,3_Zimmer,,287
2017,Gifhorn,3_Zimmer,,113
2017,Goslar,3_Zimmer,,11
2017,Goslar-Stadt,3_Zimmer,,1
2017,Goslar (oh. Gos,3_Zimmer,,12
2017,Helmstedt,3_Zimmer,,23
2017,Northeim,3_Zimmer,,50
2017,Peine,3_Zimmer,,123
2017,Peine-Stadt,3_Zimmer,,67
2017,Peine (oh. Pein,3_Zimmer,,56
2017,Wolfenbüttel,3_Zimmer,,61
2017,Wolfenbüttel-St,3_Zimmer,,48
2017,Wolfenbüttel (o,3_Zimmer,,13
2017,Göttingen,3_Zimmer,,209
2017,Göttingen-Stadt,3_Zimmer,,103
2017,Göttingen (oh.,3_Zimmer,,106
2017,Hannover,3_Zimmer,,1240
2017,Hannover-Region,3_Zimmer,,811
2017,Hannover-Landes,3_Zimmer,,297
2017,Garbsen-Stadt,3_Zimmer,,44
2017,Langenhagen-Sta,3_Zimmer,,88
2017,Hann.Reg.(oh.Ha,3_Zimmer,,382
2017,Diepholz,3_Zimmer,,202
2017,Hameln-Pyrmont,3_Zimmer,,18
2017,Hameln-Stadt,3_Zimmer,,18
2017,Hameln-Pyrmont,3_Zimmer,,0
2017,Hildesheim,3_Zimmer,,71
2017,Hildesheim-Stad,3_Zimmer,,38
2017,Hildesheim(oh.H,3_Zimmer,,33
2017,Holzminden,3_Zimmer,,3
2017,Nienburg (Weser,3_Zimmer,,66
2017,Schaumburg,3_Zimmer,,69
2017,Lüneburg,3_Zimmer,,1781
2017,Celle,3_Zimmer,,146
2017,Celle-Stadt,3_Zimmer,,47
2017,Celle (oh.Celle,3_Zimmer,,99
2017,Cuxhaven,3_Zimmer,,146
2017,Cuxhaven-Stadt,3_Zimmer,,60
2017,Cuxhaven (oh. C,3_Zimmer,,86
2017,Harburg,3_Zimmer,,444
2017,Lüchow-Dannenbe,3_Zimmer,,40
2017,Lüneburg,3_Zimmer,,122
2017,Lüneburg-Hanses,3_Zimmer,,65
2017,Lüneburg (oh. L,3_Zimmer,,57
2017,Osterholz,3_Zimmer,,94
2017,Rotenburg (Wümm,3_Zimmer,,147
2017,Heidekreis,3_Zimmer,,137
2017,Stade,3_Zimmer,,262
2017,Stade-Hansestad,3_Zimmer,,52
2017,Stade (oh.Stade,3_Zimmer,,210
2017,Uelzen,3_Zimmer,,70
2017,Verden,3_Zimmer,,173
2017,Weser-Ems,3_Zimmer,,3072
2017,Delmenhorst-Sta,3_Zimmer,,51
2017,Emden-Stadt,3_Zimmer,,13
2017,Oldenburg(Oldb),3_Zimmer,,321
2017,Osnabrück-Stadt,3_Zimmer,,122
2017,Wilhelmshaven-S,3_Zimmer,,13
2017,Ammerland,3_Zimmer,,232
2017,Aurich,3_Zimmer,,213
2017,Cloppenburg,3_Zimmer,,205
2017,Emsland,3_Zimmer,,532
2017,Lingen (Ems)-St,3_Zimmer,,198
2017,Emsland (oh. Li,3_Zimmer,,334
2017,Friesland,3_Zimmer,,118
2017,Grafschaft Bent,3_Zimmer,,124
2017,Nordhorn-Stadt,3_Zimmer,,48
2017,Grfsch.Bentheim,3_Zimmer,,76
2017,Leer,3_Zimmer,,271
2017,Oldenburg,3_Zimmer,,104
2017,Osnabrück,3_Zimmer,,340
2017,Melle-Stadt,3_Zimmer,,33
2017,Osnabrück (oh.M,3_Zimmer,,307
2017,Vechta,3_Zimmer,,216
2017,Wesermarsch,3_Zimmer,,113
2017,Wittmund,3_Zimmer,,84
